,rest_name,username,review,stars,date,location,repeat,dmv
8,La Jambe,/user_details?userid=XuYkUMWvzcUQa8TOuPbtAQ,"Asked the owner's husband for a recommendation for a wine blend and he could not have been more condescending. He gushingly made a recomm and the wine was definitely not the best we had. 
Other staff were lovely, but he killed it for us.
",2,8/17/2017,"Washington D.C., DC",False,True
19,La Jambe,/user_details?userid=0du6Wws_dwkeUyRIO_fEeg,"I usually love La Jambe, their happy hour is excellent. But tonight we ordered the La Surprise large board and it was a joke: 51 dollars for 10 slices of ham and 4 small pieces of cheese is outrageous. After complaining to the manager they only charged us for a medium board, 37 dollars, which was an acceptable solution. But bottom line, La Jambe is way overpricing their food. I really hope they change this otherwise I doubt they'll survive which would be really unfortunate.
",2,8/4/2017,"Washington, DC",False,True
33,La Jambe,/user_details?userid=T8JHqx00YtRc6-KyPVjw8A,"The wine card was nice but the platters of cheese and ham were a complete ripoff.There was hardly any selection or food on it.We complained to the Manager and hope they will review their exorbitant prices.
",2,8/4/2017,"Washington, DC",False,True
48,La Jambe,/user_details?userid=93p_hrmtmC_fpwbEhdo8TA,"The food is insultingly abysmal and especially for the price. Check out the pictures on Yelp and ask yourself if you would pay $20 for a sad platter of two bites of cheese and a few slices of charcuterie. They claim to have a raclette but was such a disappointment beyond belief. Don't eat anything here, just order wine. The 2nd star is only because the wine prices for a bottle are on par with other DC restaurants and good quality.
",2,2/17/2017,"Washington, DC",False,True
79,ENO Wine Bar,/user_details?userid=bW_e9iem-w3z7Ow68zRlCQ,"Their wine list is expansive, their small plates looked interesting, and the (1) wine flight I had was quite good. However, the inattentive service made it difficult to explore any of the above.
",2,2/22/2015,"McLean, VA",False,False
80,ENO Wine Bar,/user_details?userid=I-Ei6Ht-prslX26iUrLFTg,"this could be four stars
no waiter in sight, no drinks
on a wednesday night!?

it's lovely inside
but with so long of a wait
i'll buy drinks elsewhere
",2,1/31/2014,"Washington, DC",False,True
89,ENO Wine Bar,/user_details?userid=Ig1qI6UX1e5lO_S0P7G0uw,"A new nice place in Georgetown... But disappointing. Wine list, bread, cheese tried tonight were just OK. 
- a good baguette is easy to find. Even in DC. As well for the raisin bread. 
- wine list could be of higher quality and in the same range of price. Is Beaujolais the only burgundy wine you're aware of? 

So nice designed wine bar, but there are better option around.
",2,10/25/2013,"Bethesda, MD",False,True
116,ENO Wine Bar,/user_details?userid=MaLkXkuvdLGwVJhUpROaXw,"We were so excited when we originally found this place. The food was great and the wait staff could not have been better. We go back 2 weeks later, really looking forward to tasting some new wines and other menu items. Well what a difference 2 weeks makes! We were sold on a limited edition Alexander Valley red wine. Then we were told there was only a 1/2 glass left, which was ok, except the glass was filled with sediment. We asked to replace it with another choice, no problem. Then my partner ordered the truffle mac & cheese. It was served cold. Not knowing if this was intentional, I asked the waitress - who then got the manager. She said she was going to put it back on the stove top but it came back reheated from the microwave - not the same experience. She served the dish with no utensils - when she came back to check in, she said ""oh, I guess you don't know how it is, you have no fork"". She never came back. She never apologized and never offered to even comp the wine. At $100 for 2 glasses of wine and 2 menu items, that would be the very least one would expect. We could not have been more disappointed, we will not be back and we will NOT recommend. I realize everyone and every restaurant has a bad day but our situation was handled by the restaurant manager and it was the worst experience. An apology for the mishaps would have gone a long way. The manager is the reason we won't be back.
",2,8/30/2015,"San Jose, CA",False,False
123,ENO Wine Bar,/user_details?userid=Wi3sZSlUpZHBdbwItkfZcA,"We were in the area last weekend, and I had heard this place was going to do an Academy Awards event starting at 5pm.  We got there around 6:30, and there was no mention of it.  We asked if there was anything going on, and we were told they had two wines for $5 and the screen on the main floor was the feed, and free popcorn.  The ad that I saw for this made it seem like there was going to be a place specifically for people to watch while enjoying wine and food, as well as free popcorn and chocolate.  There was no sound, no subtitles.  We each got one of the wines, but neither were very good.  The popcorn was stale.  No chocolate.  We overheard our server tell the next table that they were still setting up and trying to figure out the channels to watch below.  By now it was past 7, we were unimpressed with everything (except the atmosphere), and decided to head out.  We did not entertain any more wine or consider ordering anything else, because of this disappointment.
",2,2/24/2015,"San Antonio, TX",False,False
126,ENO Wine Bar,/user_details?userid=nEbkAyN77cUmaDJy3w2fMw,"I am not one to write reviews and I only write them when it's really good or really bad. In this case, unfortunately, it was not a pleasant experience. The only reason I am giving two stars rather than one is because the wine was decent. I did not have the food so I can't critique that, but I can certainly explain the horrible service we had. We came for a birthday party and mind you, there were maybe three or four other tables with people in the entire two floors of the restaurant. Our server's name was Teymour I believe and he not only took forever to take our orders (some people came later and tried to order a bottle and he said no at first because there was too many people trickling in one by one rather than at once and he can't keep taking one order after another...REALLY??), but also my friend and I asked him for a glass of water and even though the pitcher of the water was already on the table, he should have brought us brand new glasses from the bar. Instead, he found whatever empty glass that was on the table and filled it with the pitcher of water (someone else had used the glass and finished their water so he was too lazy and just took theirs rather than getting new ones...again, REALLY??). Then to top it off, he refused to give individual checks or let alone split one check for our group (he only wanted one method of payment)! Finally someone had to talk him into it and he agreed after arguing. There were many other things he did, but this was the experience that I gathered from the night. Others from our group had additional bad experiences with him and will probably write reviews too. Please hire nicer and more hospitable waiters next time.
",2,9/26/2014,"Washington, DC",False,True
