,rest_name,username,review,stars,date,location,repeat,dmv
0,La Jambe,/user_details?userid=GBjdziANdkk29jjwOBj5ow,"This review is massively overdue (I don't write a lot of reviews). My husband and I are semi-regulars at this place. Anastasia and Dave are friendly people with great taste, and they have created wonderful, unpretentious wine bar. The wine list is delicious - we have our favorites like everyone but have never had a bad wine from their list - and the staff give great advice if you're not sure. Anastasia even gave us recommendations about which wineries to hit up in her native land on our summer vacation.

The food is yummy too, if you're okay with the dishes being a bit on the small side for the price.

Overall, this place has us coming back on the regular. The only downside is they've been so successful that it's rarer to see Anastasia and Dave hanging around these days, but that just means they've been doing well. 

A must-try if you live in the U Street/Shaw/Mt. Vernon area.
",5,8/25/2017,"Washington, DC",False,True
3,La Jambe,/user_details?userid=ZaJ6zPDAc7YaDTE2QEBGPA,"This place is really special. If your in the area and love French wines pared with cheese, meat, pickles, and baguettes then look no further. La Jambe has a great French wine list.

The staff are great. The waiter on Saturday night was extremely knowledgeable and friendly. I ask him about the cognac selection and he lit up. Turns out we both love to sip good whiskey. I asked if they had Armnagac and he recommended two. I had a one oz pour of each. They were both very good. If your in this neighborhood stop in at La Jambe.
",5,7/23/2017,"Red Bank, NJ",False,False
6,La Jambe,/user_details?userid=W7R6U1ibcHxXBYedVWYQqw,"This little gem is a fantastic place for happy hour with the girls or for a date. Who can resist $5 rose?? ;)
If you're going to come, definitely get the charcuterie and/or cheese plates. They are excellently crafted, the cheese being a good mix of hard and soft. Service is good, and I definitely want to come back next time I'm in DC to try some of their other small plates.
",5,6/23/2017,"Berkeley, CA",False,False
7,La Jambe,/user_details?userid=oe0t5jdk-WHCYqnkRB_reg,"Best wine bar happy hour in the Shaw area! A few friends and I went here for Happy Hour on a Thursday night. 

ATMOSPHERE: Went here with a group of friends for happy hour on a Thursday night. It wasn't too crowded so we were able to get a large table. There's also a long marble bar that you can sit at. Soft lighting, cute tea plates that your grandmother owns, and vases with flowers all over the place. Very cute, would recommend for a date or a girls' night! 

WINE: Four options for happy hour, each were between $5-6. Sparkling, rose, white and red. Very good wines for the price. We tried the Pinot Noir which was delicious. They also have beer if you're not a wine drinker. 

FOOD: We ordered the La Suprise (under Plateaux Mixtes) which is a selection of cheeses and charcuterie that they have for the day. The large size ($51) was enough to feed 6 people. 2 cheeses, 2 meats, blackberry preserve and apricot jam, dried apricots, and 2 bread/water cracker baskets. Had a dried salami and a truffle ham, both of which were delicious. 

SERVICE: Our server was so extremely friendly and knowledgeable. Gave us a run down of the happy hour wines, the cheese and charcuterie. 

Welcome addition to the Shaw neighborhood. Definitely recommend!
",5,12/30/2016,"Washington, DC",False,True
14,La Jambe,/user_details?userid=LtZJ_YZN9eRrFe0N4m8SsA,"FYI they are closed on Mondays (found that out the hard way) but I returned Wednesday for HH! You can't be $5 wine! I had the sparkling white and my friend had the rose. I was in heaven because neither were very sweet! The waitress was also super knowledgable in explaining the wine, cheese and charcuterie options. I ordered the small Le Frenchie platter that came with Bleu and Camembert cheeses, proscuitto, rosette, bread (baguette, wheat bread and crackers), Dijon mustard, honey and pickles. It was the perfect amount for two people to snack on - everything tastes super fresh and flavorful. I will definitely be returning!
",5,7/19/2017,"Charlotte, NC",False,False
15,La Jambe,/user_details?userid=fyxvvMyF4mIIdigAnuhvaQ,"Cute, clam, affordable wine happy hour. The place is well lit and pleasant. The servers were speedy and nice. Worth a stop! Will be back.
",5,7/13/2017,"Washington, DC",False,True
16,La Jambe,/user_details?userid=KiyPUvmz2HDmZvP8yiiuxw,"Another win in the series of 7th St Shaw bars. La Jambe is a really good wine bar, but don't be deceived because they also have cocktails and beer! Our waitress was so nice and patient with our table while making decisions. She let me try a wine I had never heard of before committing to a bottle and also gave our group a lot of advice on picking a wine. The place was pretty moderately priced for the unique kinds of wine we were getting as well. Also, I was surprised to find a good amount of seating available. We were easily able to sit the four of us at one table and didn't feel crowded or rushed the entire time. I would highly recommend a visit- I know I'll be back!!
",5,5/8/2017,"Washington, DC",False,True
17,La Jambe,/user_details?userid=wklmU8CM7czQQBuhOC4k9A,"Love this place.  Top shelf staff who were authentically friendly & generous- letting us taste new concoctions & new wines. We went for $5/glass Happy Hour.  Love the ambiance.  Gorgeous cheese plates.
",5,5/27/2017,"Chicago, IL",False,False
20,La Jambe,/user_details?userid=uEWsWCNKTTaQ0dTT-mft8Q,"Best wine bar in DC, amazing wines, delicious charcuterie  plates, and lovely staff every time.
",5,9/10/2017,"Washington, DC",False,True
23,La Jambe,/user_details?userid=E-UoJyyrhaGGk_aU0r1ulQ,"Loved this place! Perfect for a Francophile like me. They have a great 4-choice happy hour old world wine list for $5, and La Surprise charcuterie selection was in fact a nice surprise! Wonderful to relax in their nice cafe atmosphere listening to Ella and Louis...
",5,7/12/2017,"Washington, DC",False,True
25,La Jambe,/user_details?userid=Wn8N3WpDozUUbV0y1HYl7w,"Hot damn. What a phenomenal place. Interesting, unusual wines at absurdly reasonable prices. Their staff is not just extremely knowledgeable, but also a ton of fun. This place is a rare gem, and if you ever have a few hours to kill, there is no better place to drink your time away. 

I almost don't want to give this place the review it deserves because I want it to stay a hidden gem. Because it's that good.
",5,7/6/2017,"Pasadena, CA",False,False
27,La Jambe,/user_details?userid=0LHF8ssgtB59NMC6piGJ_Q,"Don't let the ""wine bar"" category fool you--this place has also has some ridiculously good cocktails! Swung by here for a pre-dinner drink and was really pleased with the bartender's recommendation (Jojo Lapin). Everyone behind the bar was really friendly and attentive. I know next to nothing about wine, but the wine list was extensive. I would absolutely come back to try some cheese and charcuterie and sample more of the drinks they have on offer here!
",5,1/29/2017,"Washington, DC",False,True
28,La Jambe,/user_details?userid=xRcLzgvTdmGPPUCTNhSQ3Q,"CUUUUUTEST little wine bar!  It just oooozes Paris, has an amazing selection of wines, meats, and cheeses, and Colin, our bartender/server was so very attentive, knowledgeable, and you could tell he really loved the place himself.  If I could copy/paste this place back home with me to San Diego, I would be there every week!  So happy to have stumbled upon it quite by chance.  My friend had a lovely and affordable glass of Sauternes, and my Languedoc was delish as well.  So excited to find Jambon de Bayonne on the menu to!  Chapeau bas La Jambe!
",5,6/4/2017,"San Diego, CA",False,False
34,La Jambe,/user_details?userid=mA2EPJhLaDCrdcwR2eFNlw,"My wife and I went to La Jambe on a Friday night. It was busy but we were lucky enough to get a seat at the bar. The atmosphere is lively without being too noisy and the decor is great. The service was attentive and exceptionally good.

We got a small La Surprise plate and both the cheese and charcuterie were delicious. The french bread was fantastic and you can definitely tell the difference between it and the run-of-the-mill French bread out there. 

The wine selection is impressive as are the cocktails. We had some reds and some cocktails and both were really good. 

Overall I'll definitely be back when I'm visiting DC.
",5,10/17/2016,"Austin, TX",False,False
35,La Jambe,/user_details?userid=Yl6C4Jx0ncvVE5s_bnPTPQ,"I went with my boyfriend and a friend on a Saturday night, and we loved it! It wasn't too crowded; we were able to get a table right away. The atmosphere was very relaxed and casual, and the service was very friendly. The food was a little pricey, but we really enjoyed our cheese/meat plate and sandwiches. We paid ~$36 for a bottle of wine and enjoyed that, too. 

I will definitely be back!
",5,10/14/2016,"Washington, DC",False,True
36,La Jambe,/user_details?userid=WHj7vaJrqo4c9JpMFWkctg,"Just ma type of place! Authentic French wine bar that offers a unique selection of cheeses, wine and charcuterie at a very good price point! You can get a great glass of rosé for only $8 (not happy hour!) and trays of cheeses, meats or both in very generous portions. Oh and the bread is amazing too! 

I loved the decor (a mix between a classic Parisian café and a hipster brasserie) and ambiance and definitely want to go back soon to try their cocktails and sandwiches!
",5,6/24/2016,"Washington, DC",False,True
37,La Jambe,/user_details?userid=hsphOaOR8gG3ce0vPZwA3A,"I live in the Shaw neighborhood and passed this place all the time. I finally decided to check it out and I am glad I did. Their HH wine was great. The Pinot Noir is a must. I also had their Rose. Very crisp. For an app, I had their Pesto Walnut Toast... lovvveee! $5 wine and $5 toast. Definately will be my go to for wine HH. Check it out people! It won't disappoint.
",5,1/12/2017,"Washington, DC",False,True
38,La Jambe,/user_details?userid=SSkj3eioe-p3yaxBrBozWQ,"Excellent place to grab some fine wine and charcuterie. The owner and staff were absolutely wonderful with casual but attentive services. We were treated with some fine custom-made cocktail on the house. It is definitely a gem in the neighborhood.
",5,6/4/2017,"Jersey City, NJ",False,False
39,La Jambe,/user_details?userid=uxaB5941AUyjirW9xgUpcg,"My husband an I stopped by on the recommendation of friends - what a great new spot! We started off with the pork rillette (which we found out was homemade by the owner) and then shared the 'Surprise' charcuterie board and the 'Noisette' sandwich. All of the food was fresh, authentic, beautifully presented and delicious! We were able to try lots of things we'd never had before, without being intimidated by ordering. The bartenders had great recommendations - our favorite cocktails were the 'L'Olympique,' 'Le Sud' and of course the Rose. The staff was friendly and helpful, and you can really tell how much thought went into designing the restaurant space. We'll definitely be back!
",5,7/3/2016,"Baltimore, MD",False,False
40,La Jambe,/user_details?userid=-9YZc25iHMluMxf949822Q,"I usually don't go to wine bars but this place is exceptional. The decor is great, the staff is super sweet, and the drinks and snacks are superb. I've never been to France but I hope they are as nice there as La Jambe is to me here.
",5,6/22/2016,"San Juan, Puerto Rico",False,False
