,rest_name,username,review,stars,date,location,repeat,dmv
1,La Jambe,/user_details?userid=X3Ki2Z6JTn9gbuz23NO3kg,"My friends and I were looking for a good happy hour spot to catch up at and having heard good things we ended up at La Jambe. La Jambe is a little French cafe with delicious wine. Wine during happy hour was $5 and the staff was great about catching us right before it ended to offer us a chance to grab more discounted drinks. Their happy hour wines also were good wines, none of the bottom shelf stuff you might get at other wine bars during happy hour.

We tried several white wines as well as the charcuterie and cheese plate, and split the La noisette and the la Boulanger. All were very tasty and made the perfect happy hour meal with wine.

The only disappointing thing I would say about this place is that my friend asked if they had wifi and they unfortunately didn't because I could see this being a great place to study during the day.
",4,9/25/2017,"Washington, DC",False,True
2,La Jambe,/user_details?userid=dOYJX2FBw5FXDBwXZZoq7A,"Elegant and intimate - La Jambe has an unexpected ambiance for the Shaw neighborhood. It is perfect for date night when you're looking to eat light or a glass of wine with your girlfriends on a Wednesday evening. The bar is relatively small, but with one wall lined with a floor to ceiling urban artwork, the vibe given off is trendy and French inspired. 

There menu is simple, but delicious. They have various cheese and meat options to build your own cheese plate (complete with accouterments like mustard and cornichons. The rest of the menu is mostly baguette sandwiches with DELICIOUS French bread. 

Bonus points that they have wine away on hand for when you spill wine on your sweater!
",4,8/11/2017,"Washington, DC",False,True
4,La Jambe,/user_details?userid=mz8Q8yEOkgjaISIqzUSHLg,"Hooray for happy hour! $5 for delicious wines? I'm there. The staff were really helpful with choosing which bargain to avail of. I felt a little silly asking about each hh wine since for $5 what do you really have to know (amirite?), but I appreciated learning a bit about what I was enjoying!

The food is a bit pricey, but I really enjoyed my small charcuterie plate. The bar area is a beauty. There's a long bar counter that spans most of the space and some high-tops along the walls. It's probably best for 2-3 friends vs. a whole crew.
",4,7/10/2017,"Washington, DC",False,True
5,La Jambe,/user_details?userid=B1U0NiIcCltvuBXd8NbtuQ,"$5 happy hour wines at the corner gem La Jambe are my new Jambe. 

You know that moment of clarity when you first realize that the sound in the background of Kelis' Milkshake song is, in fact, a milkshake? That is how I felt the first time I discovered this place.  Small plates to go with your hopefully multiple glasses of rose' varietals, or if you're like me, round after round of pinot noir, because why mess with a good thing?
",4,6/5/2017,"Washington, DC",False,True
9,La Jambe,/user_details?userid=USCP83O8bpVpFPCwXG-OKQ,"Great crepes at brunch! The mimosas were especially good!  There is pretty easy street parking nearby
",4,8/17/2017,"Atlanta, GA",False,False
10,La Jambe,/user_details?userid=uY9XZ2W7RvhwF_xRiW0svQ,"This is a pretty decent wine bar. It's laid back and chill compared to the craziness that is Barcelona and occasionally Vinoteca. Since it's in Shaw, it doesn't seem to get too crowded, not that the space is very big anyway. 

We arrived at 5:30 and it was pretty empty but towards the end of happy hour around 6:30, it was busy. Happy hour wines are a steal. You get a white, a red, and a rose for $5 and a sparkling for $6. Most places only offer wines on happy hour that are normally only $7-8  but the happy hour white here is normally priced at $13.

We also got a cheese board. They come in small, medium, and large. We got the small size for just under $20 and it was a decent size. It came with three cheeses (unfortunately one was blue- you cannot choose), a jam, candied vegetable, and a big basket of bread and crackers. They also offer gluten-free crackers free of charge.

Service was friendly and very knowledgeable about the wine and the cheeses.
",4,9/12/2016,"Washington, DC",False,True
11,La Jambe,/user_details?userid=FaGNAInxLWLeKRkcqpxILw,"Great food and service, but some of the prices are too high, and the interior is more Berlin than France and doesn't do it for me. 

I enjoyed several hours here Tuesday evening, first doing some work and then catching up with some friends. I arrived a few minutes after they opened for the evening, and I found a table along the wall to pull out some work to do while I sipped some red wine. They had a very enjoyable pinot noir on the happy hour menu, which I managed to enjoy two glasses of before stopping myself. I also snacked on some light bites, first the walnut pesto toast then the black olives. The toast had fantastic flavor, and was decently filling, especially for the small price. It's cool to think that you could come here and get a nice glass of wine and a decent snack for only $10 during happy hour. The olives were far superior to any black olives I've ever tasted before!

When my friends arrived we moved onto other wines and plates of meats and cheeses. The first one we tried was the La Surprise from the Plateaux Mixtes options. This rotates the cheeses and meets, and I can't remember the names of anything, just that it included some of the saucissons hanging by the bar, which were SO GOOD! I should have asked if they sell them to take home. Four of us split the medium size, and no one felt cut short. Still hungry, we ordered another round of drinks and tried one of the cheese plates, Le Caractère, which the server recommended based on my friend's preference for stronger cheeses. We also ordered the house made rillettes, which was pork that day. We ended up having to pay for another backer of bread, because despite ordering two dishes, they only gave us one basket of bread and crackers. Not a big deal for $2, but not right. The rillettes was delicious, and I don't like normal pâté. The cheese plate was also thoroughly enjoyed; we went with the medium portion again, and it all got consumed. The first plate was $34 and the second one was $24, which in the end struck me as around $6-8 too much for each (see photos). Still, the server was excellent!

The biggest issue for me is the space they chose--it's far too new and industrial for a French-themed wine bar. I've lived in France and visited many times, and it didn't at all transport me back there. What it did remind me of was Berlin, which has a lot of places with a rough, industrial feel, particularly because of the spray painted mural along the back wall. I can also easily tell that the building is new, which is very un-European. 

If I lived closer I'd probably come in from time to time, but the character of the space is too much of a downer for me to go out of my way again I think.
",4,2/4/2017,"Washington, DC",False,True
13,La Jambe,/user_details?userid=jS_VvNOjUlmZBuXoUAW3og,"I took a friend here for birthday drinks and we had a wonderful time. The place was intimate and felt very comfortable, neither overcrowded nor too busy. Our server was friendly, attentive, and quite knowledgeable about food and drinks. There is a good selection wines, most of which are decently priced. My only issue is the subpar food menu. I know it's French inspired, but they could make it a bit more inviting for vegetarians and vegans. I ended up ordering a small cheese board, which tasted decent, but for a few pieces of cheese, definitely not worth the $16 dollars spent. Other than that, the place is a solid wine bar and I plan to return.
",4,9/4/2017,"Washington, DC",False,True
18,La Jambe,/user_details?userid=tTjI_-rNO7L-dtcG81GXVQ,"Wine list: Excellent Ambiance: Date night Overall: 3.5-4

My boyfriend and I stopped by here after meeting a few friends for drinks (hence, we were already buzzed). It's a super cute spot with an extensive wine list! The guy next to us was devouring a cheese platter which looked amazing. The other couple was enjoying a dessert crepe which also looked delicious. I will definitely have to come back here when I'm more coherent and able to enjoy the wine and cheese! The bartenders also seemed to have extensive knowledge on the wine list which is always helpful.
",4,12/2/2016,"Washington, DC",False,True
22,La Jambe,/user_details?userid=gSGDXTzLhIL2KjLzW8W-iA,"This is a great spot with friendly service and an amazing wine selection.  The happy hour is an excellent deal: $5 -$6 for a glass of red, white, rose, or sparkling.  

The only reason I'm giving this place four stars instead of five is because of the noise.  I think if they added some sound proofing to the ceiling it might help, but by 7:30 we were having to speak very loudly to each other in order to be heard over the din of the restaurant.
",4,7/28/2016,"Washington, DC",False,True
