,rest_name,username,review,stars,date,location,repeat,dmv
45,La Jambe,/user_details?userid=5jbBEpPRPOpOMJe22BrZnA,"This place is atrocious.  It has nothing good going for it whatsoever.  I have no idea who these people are that are giving it good reviews.  The atmosphere is ridiculous.  There are some imitation art nouveau elements interspersed with some industrial wanna-be-chic elements, co-mingled with what I can only describe as Home Depot sale style.  There is only a bar area and there aren't many seats at the bar.  The vibe just feels like some restauranteur cobbled together some stuff and hoped people would be dumb enough to come.  The food is grossly overpriced.  The menu is pathetic.  You can order some cheese, some charcuterie, or some sandwiches.  The cheese and charcuterie are exactly what you could get at Safeway, but marked up 300%.  I'm serious.  These were not special meats or cheese at all.  I would not be surprised to learn that they source their ham from Oscar Mayer.  And the wine list was laughable.  There is really nothing good about this place.  Our bartender seemed like a nice guy.  I'll give him that.  But when he was describing our bologna and Velveeta plate he all but smeared his unwashed hands on our food.  Unappetizing and unappealing do not begin to capture the reaction we had.  DC has some decent little bistros and wine bars.  This is not one of them.  La Jambe?  Plus jamais!
",1,8/15/2016,"Washington, DC",False,True
50,La Jambe,/user_details?userid=aCOdjvsKh0BbCv_qslHZEQ,"Both me and my friend were charged higher tips on our credit cards then we signed on our receipts. 

Update: La Jambe remedied the situation in a thoughtful and professional manner.
",1,10/14/2016,"Washington, DC",False,True
70,ENO Wine Bar,/user_details?userid=2qH3A7LkhNRGD4hzFnJ0IQ,"Visited a while back and found this un-posted review in my drafts today: 

I've never been much of a yelp reviewer but my experience at Eno this evening (7/18/14) was so dreadful I felt I needed to post here. I came in around 9:30 after a dinner on the waterfront with a few friends all of us in our early twenties, we live in Georgetown and have been meaning to try this place for a while. We intended to order three or four bottles and enjoy a long night but the staff at Eno had other ideas. 

At first we walked in asking if we could sit outside, they pointed us, aggravated at our asking, towards the back door which, when we exited the restaurant, opened back up towards the street and one or two small two persons tables... Obviously not a fit for our group of six--clearly just from us walking in they already wanted to get us out. We then asked next to sit upstairs, it was as if we had asked to be seated at a table suspended above the restaurant on a flying carpet! The staff acted as thought our request could not have been more bothersome. When we were finally seated we began to talk at the table and, god forbid someone told a joke and we all laughed, almost immediately two waiters walked by our table eyeing us and asking condescendingly if we did in fact intend to order something, bear in mind we have been seated for less than three minutes and do not yet even have menus. I, being the only one in the group with a bit of wine knowledge, was attempting to explain the differences between different vintages and what not to the others and apparently I was doing a bad job because the waiter came up and cut me off and began to almost make fun of me and us as we attempted to figure out what we wanted to order. Eventually we did order a few glasses of wine, drank them and left having quite the sour taste for ENO.
",1,8/8/2015,"South Park, Charlotte, NC",False,False
74,ENO Wine Bar,/user_details?userid=o2YkmLspg1FR3cR9uuG2RQ,"Could of gotten a better rating but the waiter was a dick. He was slow, unresponsive, condescending, and presumptuous. He came to take our order and then walked away mid order.

I then asked for wine suggestions and he asked some basic questions about price and varietals then  walked away without telling us what he was going to get us. We had to call him back, only to find that the wine he unilaterally picked was not what we wanted nor was it within the price range we had given.  

We also ordered a ludicrously over priced pot of fondue, or should I say cup.  The taste and texture wasn't right and they gave us 3 tiny little pickles, a pittance of bread, and no little onions.  Just a total rip off.

I can't recommend this place the wait staff was terrible and the food didn't meet expectations.  The wine was fine, but not what I would expect from a place that labels itself as a wine bar.
",1,3/10/2015,"Washington, DC",False,True
77,ENO Wine Bar,/user_details?userid=RLaRN39XKDFKDBydLqs9UQ,"AWFUL. 

We really wanted to like this place but - and I am not being overly dramatic - we were snubbed by the waiter for 15 minutes upon sitting down. 15 minutes is a very, very long time for a waiter to walk by no less than 7 times on his way to other tables and his only words to us were, ""It's going to be a few minutes."" 

Not cool, man. I've been a server and even if you're in the weeds, you at least greet the table and drop water and menus. 

Once he found the time to take our order, we ordered only three items: two glasses of wine and one bowl of olives. The wine took five minutes to make its way from downstairs to upstairs. From our table we had a view of the bar below and the kitchen window. We watched our olives sit. And sit. And sit. And sit. 

We had reservations at Bourbon next door. We had to leave. The waiter altogether disappeared, so we left cash on the table for our glasses of wine and bolted. 

This place looks cool and has potential but management needs to fire their current wait staff and hire new servers who can take lessons from The Four Seasons on how to serve your customers well.
",1,2/22/2014,"Washington D.C., DC",False,True
106,ENO Wine Bar,/user_details?userid=95kgY9hxqwpjC1NaCZJP5g,"They insisted that a $50 bottle of wine was worth $60 a glass, even when I showed them the price for the bottle online.  I'm all for spending good money on good wine, but that's fraud in my book and preying on an uneducated clientele.  Avoid this place.
",1,10/25/2014,"Washington, DC",False,True
118,ENO Wine Bar,/user_details?userid=5ighn4wLB9jPbd0lYqsHBA,"Called ahead to find a table outside. I wish I could say the staff cared to look. I understand first come first serve but we were right next door at the hotel.  Once there, service was extremely slow and not welcoming. And knowledge of wine? Not there either. If someone had told me the wine I ordered would smell and taste sour, I would have passed and ordered something else. Only when I asked was I told that the wine was supposed to taste that way and they wondered if I knew that when I ordered it???? Ummmm, no. Offer me something else? No. So, you won't are me back here.
",1,5/24/2014,"Knightdale, NC",False,False
124,ENO Wine Bar,/user_details?userid=E0HaR8LYMR31MojFJk9YnQ,"Eno needs to invest in better staff.  I have been to Eno numerous times and have always been underwhelmed with the service. However, my visit on Thursday night week will be my last.  After having to ask three different people for our check, we finally got it and noticed it was wrong and we were charged for an extra glass of wine.  I notified our male server and asked for an updated check.  He looked annoyed but came back with a new check.  We paid and as we were getting ready to walk out the door, the male server approached us again and said that he KNOWS the original check was correct.  I was taken aback at first assuming this was a joke and that our underwhelming server was not confronting our group in front of everyone, but I was in fact wrong. He was. He continued to argue with me and eventually walked off.  I must say this is the first time in my life I have been confronted by a server over a glass of wine. MANAGEMENT OF ENO- please reevaluate your staff or take an hour to educate your employees on what is and is not appropriate behavior. Unfortunately, I will not be recommending this place to anyone I know or work with.
",1,2/13/2015,"Washington, DC",False,True
233,La Jambe,/user_details?userid=CZcPYNG6JeaFB48XD07tUw,"This place is atrocious.  It has nothing good going for it whatsoever.  I have no idea who these people are that are giving it good reviews.  The atmosphere is ridiculous.  There are some imitation art nouveau elements interspersed with some industrial wanna-be-chic elements, co-mingled with what I can only describe as Home Depot sale style.  There is only a bar area and there aren't many seats at the bar.  The vibe just feels like some restauranteur cobbled together some stuff and hoped people would be dumb enough to come.  The food is grossly overpriced.  The menu is pathetic.  You can order some cheese, some charcuterie, or some sandwiches.  The cheese and charcuterie are exactly what you could get at Safeway, but marked up 300%.  I'm serious.  These were not special meats or cheese at all.  I would not be surprised to learn that they source their ham from Oscar Mayer.  And the wine list was laughable.  There is really nothing good about this place.  Our bartender seemed like a nice guy.  I'll give him that.  But when he was describing our bologna and Velveeta plate he all but smeared his unwashed hands on our food.  Unappetizing and unappealing do not begin to capture the reaction we had.  DC has some decent little bistros and wine bars.  This is not one of them.  La Jambe?  Plus jamais!
",1,8/15/2016,"Washington, DC",True,True
238,La Jambe,/user_details?userid=MvbMTcPdyiWF6ocWzQNskQ,"Both me and my friend were charged higher tips on our credit cards then we signed on our receipts. 

Update: La Jambe remedied the situation in a thoughtful and professional manner.
",1,10/14/2016,"Washington, DC",True,True
